Round Robin
Torneo: Torneo de ajedrez 2022
Organizador: Grupo 612 informática
Fecha de inicio: jueves 29 de septiembre de 2022
Fecha de fin: domingo 2 de octubre de 2022
Torneo Round Robin
Tabla de resultados Ronda: 2

Núm.,blancas,Resultado,Núm.,negras,Fecha del encuentro
3,"Roque, Andrea",[sin jugar],7,"Harmon, Beth",jueves 29 de septiembre de 2022
6,"Lopez, Antonia",[sin jugar],2,"Avila, Ameyalli",jueves 29 de septiembre de 2022
8,"Cortés, Pérez",[sin jugar],1,"Guillem, Sandra",jueves 29 de septiembre de 2022
4,"Corrales, Zenia",[sin jugar],5,"Guerrero, Alejandra",jueves 29 de septiembre de 2022
